domain,score,strategy_used,gap_to_approval,note
stockmarket.com,39.0,flexible,1.0,Limited data due to simplified schema
affordablerentals.com,39.0,flexible,1.0,Limited data due to simplified schema
nasdaq.net,39.0,flexible,1.0,Limited data due to simplified schema
bizjournals.co,39.0,flexible,1.0,Limited data due to simplified schema
searchengineblog.com,39.0,flexible,1.0,Limited data due to simplified schema
minnesotabusiness.com,39.0,flexible,1.0,Limited data due to simplified schema
bestlife.com,39.0,flexible,1.0,Limited data due to simplified schema
crossword.newlifeoutlook.com,39.0,flexible,1.0,Limited data due to simplified schema
finviz.co,39.0,flexible,1.0,Limited data due to simplified schema
moneymatters.org,39.0,flexible,1.0,Limited data due to simplified schema
health.mayoclinic.org,39.0,flexible,1.0,Limited data due to simplified schema
healthmagazine.com,39.0,flexible,1.0,Limited data due to simplified schema
foodconnect.org,39.0,flexible,1.0,Limited data due to simplified schema
compliancereporter.com,39.0,flexible,1.0,Limited data due to simplified schema
floridabiz.com,39.0,flexible,1.0,Limited data due to simplified schema
insurance.com,38.5,flexible,1.5,Limited data due to simplified schema
fitnesshacker.com,38.5,flexible,1.5,Limited data due to simplified schema
financialadvice.com,38.5,flexible,1.5,Limited data due to simplified schema
personal-finance.com,37.333333333333336,flexible,2.6666666666666643,Limited data due to simplified schema
tylertexas.com,37.333333333333336,flexible,2.6666666666666643,Limited data due to simplified schema
ftc.gov,37.333333333333336,flexible,2.6666666666666643,Limited data due to simplified schema
cnb.com,37.333333333333336,flexible,2.6666666666666643,Limited data due to simplified schema
smartasset.com,37.333333333333336,flexible,2.6666666666666643,Limited data due to simplified schema
kcbj.com,37.333333333333336,flexible,2.6666666666666643,Limited data due to simplified schema
sanantoniobusiness.com,36.166666666666664,flexible,3.8333333333333357,Limited data due to simplified schema
wealthyretirement.com,36.166666666666664,flexible,3.8333333333333357,Limited data due to simplified schema
ucsf.edu,36.166666666666664,flexible,3.8333333333333357,Limited data due to simplified schema
workithealth.com,36.166666666666664,flexible,3.8333333333333357,Limited data due to simplified schema
247health.com,36.166666666666664,flexible,3.8333333333333357,Limited data due to simplified schema
fitnesszone.com,36.166666666666664,flexible,3.8333333333333357,Limited data due to simplified schema
minneapolismn.gov,36.166666666666664,flexible,3.8333333333333357,Limited data due to simplified schema
thefrugallife.com,36.166666666666664,flexible,3.8333333333333357,Limited data due to simplified schema
sonima.com,35.0,flexible,5.0,Limited data due to simplified schema
eatwellenjoylife.com,35.0,flexible,5.0,Limited data due to simplified schema
lavca.org,35.0,flexible,5.0,Limited data due to simplified schema
investmentresearch.org,33.833333333333336,flexible,6.166666666666664,Limited data due to simplified schema
sba.gov,33.833333333333336,flexible,6.166666666666664,Limited data due to simplified schema
nyse.com,33.83333333333333,flexible,6.166666666666671,Limited data due to simplified schema
a16z.com,32.666666666666664,flexible,7.333333333333336,Limited data due to simplified schema
healthyhabits.com,32.666666666666664,flexible,7.333333333333336,Limited data due to simplified schema
ottawa.ca,32.666666666666664,flexible,7.333333333333336,Limited data due to simplified schema
parentingperspectives.com,31.499999999999996,flexible,8.500000000000004,Limited data due to simplified schema
healthcaretimes.com,31.499999999999996,flexible,8.500000000000004,Limited data due to simplified schema
thesimpledollar.com,30.333333333333332,flexible,9.666666666666668,Limited data due to simplified schema
healthnewsdigest.com,30.33333333333333,flexible,9.666666666666671,Limited data due to simplified schema
fiercehealthfinance.com,29.166666666666664,flexible,10.833333333333336,Limited data due to simplified schema
medlineplus.gov,28.0,flexible,12.0,Limited data due to simplified schema
financialnews.com,25.666666666666664,flexible,14.333333333333336,Limited data due to simplified schema
